habitat,pressure,scen_time,color,avg_impact
beach,acidification,ssp245_current,#D48F90FF,0
beach,acidification,ssp245_medium-term,#D48F90FF,0
beach,acidification,ssp245_near-term,#D48F90FF,0
beach,acidification,ssp585_current,#D48F90FF,0
beach,acidification,ssp585_medium-term,#D48F90FF,0
beach,acidification,ssp585_near-term,#D48F90FF,0
beach,air heat index,ssp245_current,#D2A54BFF,0.0025313264632049665
beach,air heat index,ssp245_medium-term,#D2A54BFF,0.01713145604433844
beach,air heat index,ssp245_near-term,#D2A54BFF,0.006773290224072163
beach,air heat index,ssp585_current,#D2A54BFF,0.002450296755678576
beach,air heat index,ssp585_medium-term,#D2A54BFF,0.030056263857821796
beach,air heat index,ssp585_near-term,#D2A54BFF,0.008018221274955169
beach,coastal disturbance,ssp245_current,#90D8C8FF,0.12077411808496959
beach,coastal disturbance,ssp245_medium-term,#90D8C8FF,0.12425820322828354
beach,coastal disturbance,ssp245_near-term,#90D8C8FF,0.12286990597570585
beach,coastal disturbance,ssp585_current,#90D8C8FF,0.12061487875904535
beach,coastal disturbance,ssp585_medium-term,#90D8C8FF,0.12344974336016928
beach,coastal disturbance,ssp585_near-term,#90D8C8FF,0.12244692247737526
beach,fisheries biomass loss,ssp245_current,#87A5A5FF,0.08634009351961248
beach,fisheries biomass loss,ssp245_medium-term,#87A5A5FF,0.11458354619967445
beach,fisheries biomass loss,ssp245_near-term,#87A5A5FF,0.10316728176103711
beach,fisheries biomass loss,ssp585_current,#87A5A5FF,0.08693331959390571
beach,fisheries biomass loss,ssp585_medium-term,#87A5A5FF,0.12166732605106902
beach,fisheries biomass loss,ssp585_near-term,#87A5A5FF,0.10726488492347075
beach,light pollution,ssp245_current,#B4B45AFF,0.011202602235005877
beach,light pollution,ssp245_medium-term,#B4B45AFF,0.014921708464732081
beach,light pollution,ssp245_near-term,#B4B45AFF,0.012947029580208567
beach,light pollution,ssp585_current,#B4B45AFF,0.011281926448962077
beach,light pollution,ssp585_medium-term,#B4B45AFF,0.016773404747452543
beach,light pollution,ssp585_near-term,#B4B45AFF,0.013513135937683964
beach,nutrient pollution,ssp245_current,#1E4B3CFF,0.004761855999552743
beach,nutrient pollution,ssp245_medium-term,#1E4B3CFF,0.005540884933629763
beach,nutrient pollution,ssp245_near-term,#1E4B3CFF,0.005285802057788479
beach,nutrient pollution,ssp585_current,#1E4B3CFF,0.004767666460201193
beach,nutrient pollution,ssp585_medium-term,#1E4B3CFF,0.005435996381471731
beach,nutrient pollution,ssp585_near-term,#1E4B3CFF,0.005302341027056785
beach,ocean warming,ssp245_current,#B4783CFF,0.02872092878875987
beach,ocean warming,ssp245_medium-term,#B4783CFF,0.07978777537412089
beach,ocean warming,ssp245_near-term,#B4783CFF,0.05090672713221332
beach,ocean warming,ssp585_current,#B4783CFF,0.02888653764118047
beach,ocean warming,ssp585_medium-term,#B4783CFF,0.09487732071874636
beach,ocean warming,ssp585_near-term,#B4783CFF,0.046388819737220116
beach,primary productivity,ssp245_current,#AB84A5FF,9.215501157505098e-4
beach,primary productivity,ssp245_medium-term,#AB84A5FF,0.00625735258210069
beach,primary productivity,ssp245_near-term,#AB84A5FF,0.004194560098974645
beach,primary productivity,ssp585_current,#AB84A5FF,9.112182463471178e-4
beach,primary productivity,ssp585_medium-term,#AB84A5FF,0.006738316225609161
beach,primary productivity,ssp585_near-term,#AB84A5FF,0.0043670587371157504
beach,reduced oxygen,ssp245_current,#78963CFF,8.665018630626189e-4
beach,reduced oxygen,ssp245_medium-term,#78963CFF,0.0029882155631597157
beach,reduced oxygen,ssp245_near-term,#78963CFF,0.0016696279471577608
beach,reduced oxygen,ssp585_current,#78963CFF,8.665018630626189e-4
beach,reduced oxygen,ssp585_medium-term,#78963CFF,0.004156222022716775
beach,reduced oxygen,ssp585_near-term,#78963CFF,0.0017750668485430332
beach,sea level rise,ssp245_current,#D2D2C3FF,0.03700539074038762
beach,sea level rise,ssp245_medium-term,#D2D2C3FF,0.10916243596312872
beach,sea level rise,ssp245_near-term,#D2D2C3FF,0.03700539074038762
beach,sea level rise,ssp585_current,#D2D2C3FF,0.0470856577055215
beach,sea level rise,ssp585_medium-term,#D2D2C3FF,0.16967360702940848
beach,sea level rise,ssp585_near-term,#D2D2C3FF,0.0470856577055215
coral reef,acidification,ssp245_current,#D48F90FF,9.55364652165597e-5
